"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"No Urgent Place","Alone","rainy",55,"6pm","Restaurant(<20)","1d","Female",21,"Unmarried partner","1","associates degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","rainy",80,"6pm","Coffee House","2h","Female",21,"Unmarried partner","1","some high school","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","gt8","4~8","1~3","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",80,"6pm","Carry out & Take away","2h","Female",21,"Unmarried partner","1","some college - no degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","4~8","1~3","1~3","0","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"7am","Coffee House","2h","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","4~8","4~8","1~3","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"10am","Coffee House","2h","Female",21,"Unmarried partner","1","associates degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","4~8","4~8","1~3","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"2pm","Restaurant(<20)","2h","Female",21,"Unmarried partner","1","some high school","Unemployed","$25000 - $37499","Car that is too old to install Onstar :D","never","never","4~8","1~3","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"10pm","Carry out & Take away","1d","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Scooter and motorcycle","never","never","4~8","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","sunny",80,"7am","Restaurant(<20)","2h","Female",21,"Unmarried partner","1","some high school","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","4~8","4~8","never","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","snowy",80,"7am","Carry out & Take away","2h","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","rainy",80,"10am","Bar","1d","Female",21,"Unmarried partner","1","some college - no degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","sunny",80,"6pm","Restaurant(<20)","1d","Female",21,"Unmarried partner","1","high school graduate","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","0","0","0","1","1"
"No Urgent Place","Kid(s)","sunny",55,"10pm","Restaurant(<20)","1d","Female",21,"Unmarried partner","1","bachelors degree","Unemployed","$37500 - $49999","Mazda5","never","never","4~8","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","sunny",55,"2pm","Coffee House","2h","Female",21,"Unmarried partner","1","high school graduate","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","0","0","1","1"
"Home","Alone","rainy",55,"10pm","Bar","1d","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","1~3","1","0","0","1","0","1"
"Home","Alone","sunny",80,"6pm","Restaurant(20-50)","1d","Female",21,"Unmarried partner","0","bachelors degree","Unemployed","$37500 - $49999","do not drive","never","never","4~8","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Alone","sunny",80,"10pm","Coffee House","2h","Female",21,"Unmarried partner","0","some college - no degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","less1","less1","4~8","1~3","1","0","0","0","1","0"
"Work","Alone","sunny",55,"6pm","Coffee House","2h","Female",36,"Unmarried partner","1","some college - no degree","Business & Financial","$37500 - $49999","Car that is too old to install Onstar :D","less1","never","4~8","4~8","1~3","1","1","1","0","1","1"
"Work","Alone","rainy",55,"6pm","Bar","1d","Female",21,"Unmarried partner","1","bachelors degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","1","0","1","0"
"Work","Alone","snowy",80,"7am","Restaurant(20-50)","1d","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","0","0","1","1"
"Work","Alone","rainy",80,"6pm","Carry out & Take away","2h","Female",26,"Unmarried partner","1","associates degree","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","4~8","4~8","less1","1","0","0","1","0","1"
"Work","Alone","sunny",80,"6pm","Restaurant(<20)","1d","Female",21,"Unmarried partner","0","high school graduate","Legal","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","0","0","0","1","0"
"Work","Alone","snowy",55,"10pm","Carry out & Take away","2h","Female",21,"Unmarried partner","1","graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","Car that is too old to install Onstar :D","never","never","1~3","4~8","1~3","1","1","0","0","1","1"
"No Urgent Place","Alone","sunny",55,"10pm","Restaurant(<20)","1d","Male",21,"Single","0","graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","Mazda5","never","less1","4~8","4~8","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"6pm","Coffee House","2h","Male",21,"Single","0","some college - no degree","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","sunny",80,"10am","Bar","1d","Male",21,"Single","0","some high school","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","4~8","less1","4~8","4~8","less1","1","0","0","0","1","1"
