"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"No Urgent Place","Alone","Rainy",55,"6pm","Restaurant(<20)","1d","Female","21","Unmarried partner",1,"associates degree","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",0,0,0,NA,NA
"No Urgent Place","Friend(s)","Rainy",80,"6pm","Coffee House","2h","Female","21","Unmarried partner",1,"some high school","Unemployed","$37500 - $49999","","never","never",NA,"4~8","1~3","1",0,0,0,1,0
"No Urgent Place","Friend(s)","rainy",80,"6pm","Carry out & Take away","2h","Female","21","Unmarried partner",1,"Some College - No Degree","Unemployed","$37500 - $49999","","never","never","",NA,"1~3","0",1,NA,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"7am","Coffee House","2h","Female","21","Unmarried partner",1,"Graduate Degree (Masters or Doctorate)","Unemployed","$37500 - $49999","",NA,"never","","4~8","1~3","1",1,0,0,1,0
"No Urgent Place","Friend(s)","snowy",80,"10am","Coffee House",NA,"Female","21","Unmarried partner",1,"Associates Degree","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,0,0,1,0
"No Urgent Place",NA,"SNOWY",80,"2pm","Restaurant(<20)","2h","Female","21","Unmarried partner",1,"SOME HIGH SCHOOL","Unemployed",NA,"","never","never","",NA,"1~3","1",1,0,0,NA,1
"No Urgent Place","Friend(s)","Snowy",55,"10PM","Carry out & Take away","1d","Female","21","Unmarried partner",1,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",NA,0,0,1,1
"No Urgent Place","Kid(s)","Sunny",80,"7AM","Restaurant(<20)","2h","Female","21","Unmarried partner",1,"Some High School","Unemployed","$37500 - $49999","",NA,"never",NA,"4~8",NA,"1",1,0,0,1,1
"No Urgent Place","Kid(s)","snowy",80,"7AM","Carry out & Take away","2h","Female","21","Unmarried partner",1,"Graduate Degree (Masters or Doctorate)","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,0,0,1,NA
"No Urgent Place","Kid(s)","Rainy",80,"10AM","Bar",NA,"Female","21","Unmarried partner",1,"Some College - No Degree","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,0,0,1,NA
"No Urgent Place","Kid(s)","Sunny",80,"6PM","Restaurant(<20)","1d","Female","21","Unmarried partner",1,"high school graduate","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",0,0,0,1,1
"No Urgent Place","Kid(s)","Sunny",55,"10pm","Restaurant(<20)","1d","Female","21","Unmarried partner",1,"BACHELORS DEGREE","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,NA,0,1,1
"No Urgent Place","Kid(s)","Sunny",55,"2PM",NA,"2h","Female","21","Unmarried partner",1,"HIGH SCHOOL GRADUATE","Unemployed","$37500 - $49999",NA,NA,"never","","4~8","1~3","1",1,0,0,1,1
"Home","Alone","Rainy",55,"10PM","Bar","1d",NA,"21","Unmarried partner",1,"Graduate Degree (Masters or Doctorate)","Unemployed","$37500 - $49999","","never",NA,"","4~8","1~3","1",0,0,1,0,1
"Home","Alone","sunny",NA,"6pm","Restaurant(20-50)","1d","Female",NA,"Unmarried partner",NA,"bachelors degree","Unemployed","$37500 - $49999","","never","never",NA,"4~8","1~3","1",1,0,0,1,1
NA,"Alone","SUNNY",80,"10PM","Coffee House","2h","Female","21","Unmarried partner",NA,"some college - no degree","Unemployed","$37500 - $49999","","never",NA,"","4~8","1~3","1",0,0,0,1,NA
"Work","Alone","Sunny",55,"6pm","Coffee House","2h","Female",NA,"Unmarried partner",NA,"some college - no degree",NA,"$37500 - $49999",NA,NA,"never","","4~8","1~3","1",1,1,0,1,1
"Work",NA,"Rainy",55,"6PM","Bar","1d","Female","21","Unmarried partner",1,"bachelors degree","Unemployed","$37500 - $49999","",NA,NA,"","4~8","1~3","1",1,1,0,1,0
"Work",NA,"SNOWY",80,"7am","Restaurant(20-50)","1d","Female","21","Unmarried partner",1,"graduate degree (masters or doctorate)","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,0,0,1,1
"Work","Alone","RAINY",80,"6pm","Carry out & Take away","2h",NA,NA,"Unmarried partner",1,"ASSOCIATES DEGREE","Unemployed","$37500 - $49999","","never","never",NA,"4~8",NA,"1",0,0,1,NA,1
"Work","Alone","SUNNY",NA,"6pm","Restaurant(<20)",NA,"Female","21","Unmarried partner",NA,"HIGH SCHOOL GRADUATE",NA,"$37500 - $49999","","never","never","","4~8","1~3","1",0,0,0,1,0
"Work","Alone","snowy",55,"10pm",NA,"2h","Female","21","Unmarried partner",1,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Unemployed","$37500 - $49999","","never","never","","4~8","1~3","1",1,0,NA,1,1
"No Urgent Place","Alone","SUNNY",55,"10PM",NA,"1d","Male","21",NA,0,"graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",0,0,0,1,1
"No Urgent Place","Friend(s)","Sunny",80,"6PM","Coffee House","2h","Male","21","Single",0,"Some College - No Degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",NA,0,0,1,0
"No Urgent Place","Friend(s)","Sunny",80,"10am","Bar",NA,NA,"21","Single",0,"some high school","Architecture & Engineering","$62500 - $74999","",NA,"less1","4~8",NA,"less1","1",0,0,0,1,1
"No Urgent Place","Friend(s)","SUNNY",80,"2pm","Carry out & Take away","2h",NA,"21","Single",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)",NA,"$62500 - $74999","","never","less1","4~8","4~8","less1","1",1,0,0,NA,0
"No Urgent Place","Friend(s)","snowy",NA,"6pm","Coffee House","1d","Male","21","Single",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Architecture & Engineering","$62500 - $74999",NA,"never","less1","4~8","4~8","less1","1",NA,0,0,1,0
"No Urgent Place","Friend(s)","SUNNY",80,"2pm","Coffee House","2h","Male","21","Single",0,"High School Graduate",NA,"$62500 - $74999","","never","less1",NA,NA,"less1","1",1,0,0,1,0
"No Urgent Place","Friend(s)","snowy",80,"10PM","Coffee House","1d","Male","21","Single",0,"SOME HIGH SCHOOL",NA,"$62500 - $74999","","never","less1","4~8","4~8","less1","1",1,NA,0,1,0
"No Urgent Place","Friend(s)","Snowy",80,"7AM","Restaurant(<20)","1d","Male",NA,NA,0,"graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",1,0,0,1,1
"No Urgent Place",NA,"Sunny",80,"6pm","Coffee House","2h","Male","21","Single",0,"bachelors degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",0,0,0,1,0
"No Urgent Place","Friend(s)","rainy",80,"2PM","Restaurant(<20)","2h","Male","21","Single",NA,"some high school","Architecture & Engineering","$62500 - $74999","","never","less1","4~8",NA,"less1","1",1,NA,0,1,1
NA,"Friend(s)","snowy",55,"7am","Coffee House","2h","Male","21","Single",0,"HIGH SCHOOL GRADUATE","Architecture & Engineering","$62500 - $74999",NA,"never","less1","4~8","4~8","less1","1",0,0,0,1,NA
NA,NA,"sunny",55,"10pm","Carry out & Take away",NA,"Male","21",NA,0,"some college - no degree","Architecture & Engineering","$62500 - $74999","","never","less1",NA,"4~8","less1","1",1,0,0,1,1
"No Urgent Place","Alone","rainy",55,"2pm","Coffee House","2h","Male","21","Single",0,"some college - no degree","Architecture & Engineering","$62500 - $74999",NA,"never","less1","4~8","4~8","less1","1",0,0,0,1,0
"Home","Alone","RAINY",NA,"7am","Bar","1d","Male","21",NA,0,"high school graduate","Architecture & Engineering","$62500 - $74999","","never","less1","4~8",NA,"less1","0",0,NA,1,0,1
"Home","Alone","Sunny",55,"2pm","Restaurant(20-50)",NA,"Male","21","Single",0,"some college - no degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",1,0,0,1,0
NA,"Alone","Sunny",80,"6pm","Coffee House","2h","Male","21","Single",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",0,0,0,1,0
"Work","Alone","Snowy",55,"6PM","Coffee House","2h","Male","21","Single",0,"high school graduate","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1","1",1,1,NA,1,NA
"Work","Alone","snowy",55,"10pm","Bar","1d","Male","21","Single",0,"graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","",NA,"less1","4~8","4~8","less1","1",1,1,0,1,1
"Work","Alone","Sunny",80,"6PM","Restaurant(20-50)","1d","Male","21","Single",0,"Some College - No Degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8",NA,"less1","1",1,0,0,1,0
"Work","Alone","SNOWY",80,"2PM",NA,"2h","Male","21",NA,0,"Some High School",NA,"$62500 - $74999","","never","less1",NA,"4~8","less1","1",0,0,1,0,1
"Work",NA,"Snowy",55,"2pm","Restaurant(<20)","1d","Male","21","Single",0,"high school graduate","Architecture & Engineering","$62500 - $74999",NA,"never","less1","4~8","4~8","less1","1",0,0,0,1,1
"Work","Alone","sunny",55,"2PM","Coffee House","2h",NA,"21","Single",0,"associates degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8",NA,"less1","1",1,0,0,1,0
